title,type,question,A,B,C,D,E,F,G,H,answer,image
Mixture / Campuran,radio,Consists of two or more elements or compounds mixed physically / Terdiri daripada dua atau lebih unsur atau sebatian yang bercampur secara fizikal,Element / Unsur,Compound / Sebatian,Mixture / Campuran,,,,,,C,
,radio,Mixture / Campuran 用什么方法分离？,Physical method / Secara fizik,Chemical method / Secara kimia,Cannot separate / Tidak boleh diasingkan,,,,,,A,
,radio,Mixture / Campuran 用什么方法混合？,Physical method / Secara fizik,Chemical method / Secara kimia,Cannot mix / Tidak boleh dicampurkan,,,,,,A,
,checkbox,哪些是 Mixture / Campuran ?,Cocktail / Koktel,Air Batu Campur,Air / Udara,Oxygen / Oksigen,Carbon dioxide / Karbon dioksida,Water / Air,,,"A,B,C",
,checkbox,哪些是 Mixture / Campuran ?,Soil / Tanah,Seawater / Air laut,Blood / Darah,Salt / Garam,Sugar / Gula,Carbon / Karbon,,,"A,B,C",
,radio,Colouring / Pewarna 能用什么方法分离出来？,Filtration / Penurasan,Distillation / Penyulingan,Separation by using magnet / Pemisahan menggunakan magnet,Sedimentation / Pengenapan,Floatation / Pengapungan,Chromatography / Kromatografi,Sieving / Penapisan,,F,
,radio,Impurities in flour / Bendasing dalam tepung 能用什么方法分离出来？,Filtration / Penurasan,Distillation / Penyulingan,Separation by using magnet / Pemisahan menggunakan magnet,Sedimentation / Pengenapan,Floatation / Pengapungan,Chromatography / Kromatografi,Sieving / Penapisan,,G,
,radio,Iron nails and sand / Paku besi dan pasir 能用什么方法分离出来？,Filtration / Penurasan,Distillation / Penyulingan,Separation by using magnet / Pemisahan menggunakan magnet,Sedimentation / Pengenapan,Floatation / Pengapungan,Chromatography / Kromatografi,Sieving / Penapisan,,C,
,checkbox,Sand and water / Pasir dan air 能用什么方法分离出来？,Filtration / Penurasan,Distillation / Penyulingan,Separation by using magnet / Pemisahan menggunakan magnet,Sedimentation / Pengenapan,Floatation / Pengapungan,Chromatography / Kromatografi,Sieving / Penapisan,,"A,D",
,radio,Oil and water / Minyak dan air 能用什么方法分离出来？,Filtration / Penurasan,Distillation / Penyulingan,Separation by using magnet / Pemisahan menggunakan magnet,Sedimentation / Pengenapan,Floatation / Pengapungan,Chromatography / Kromatografi,Sieving / Penapisan,,E,
,radio,Paper clips and glass fragments / Klip kertas besi dan serpihan kaca 能用什么方法分离出来？,Filtration / Penurasan,Distillation / Penyulingan,Separation by using magnet / Pemisahan menggunakan magnet,Sedimentation / Pengenapan,Floatation / Pengapungan,Chromatography / Kromatografi,Sieving / Penapisan,,C,
,radio,Three types of water-soluble ink / Tiga jenis pewarna yang larut air 能用什么方法分离出来？,Filtration / Penurasan,Distillation / Penyulingan,Separation by using magnet / Pemisahan menggunakan magnet,Sedimentation / Pengenapan,Floatation / Pengapungan,Chromatography / Kromatografi,Sieving / Penapisan,,F,
